bug_id,review_iterations,comment_times,comment_words,reviewer_cnt,reviewer_comment_rate,non_author_voters,neg_review_rate,response_delay,review_duration,feedback_count,neg_feedbacks,feedback_delay,review_status
1099414,1.0,5.75,52.0,1.0,0.0,0.5,0.0,242.82,242.82,0.0,0.0,-1.0,+
1096695,0.6,0.0,0.0,0.6,0.0,0.4,-0.4,0.14,0.14,0.0,0.0,-1.0,+
1286168,1.0,1.0,5.0,1.0,0.0,1.0,0.0,18.15,18.15,0.0,0.0,-1.0,+
1286161,1.0,2.0,3.5,1.0,0.0,1.0,0.0,7.21,7.21,0.0,0.0,-1.0,+
1286165,1.33,0.67,0.67,1.33,0.5,1.33,0.0,8.36,12.63,0.0,0.0,-1.0,+
1142542,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.76,0.76,0.0,0.0,-1.0,+
1142544,1.0,1.0,2.0,1.0,0.0,1.0,0.0,6.97,6.97,0.0,0.0,-1.0,+
1196408,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.57,6.57,0.0,0.0,-1.0,+
1196409,1.0,1.0,8.0,1.0,0.0,1.0,0.0,4.84,4.84,0.0,0.0,-1.0,+
1196403,1.0,3.0,30.0,1.0,0.0,1.0,0.0,5.41,5.41,0.0,0.0,-1.0,+
1079621,0.5,0.5,21.0,0.5,0.25,0.5,-0.5,-0.2,-0.2,0.0,0.0,-1.0,?
1079627,0.78,0.0,0.0,0.78,0.0,0.78,-0.22,28.94,28.94,0.0,0.0,-1.0,+
1072632,1.0,0.0,0.0,1.0,1.0,1.0,0.0,7.45,7.45,0.0,0.0,-1.0,+
1078979,1.0,5.0,52.0,1.0,0.0,1.0,0.0,0.75,0.75,0.0,0.0,-1.0,+
1078975,1.0,27.0,349.5,1.0,0.0,0.5,-0.5,4.88,13.37,0.5,0.0,3.34,+
1053605,1.0,0.0,0.0,1.0,1.0,1.0,0.0,78.18,78.18,0.0,0.0,-1.0,+
1053603,1.0,0.0,0.0,1.0,1.0,1.0,0.0,160.4,160.4,0.0,0.0,-1.0,+
1076825,1.0,2.0,15.0,1.0,0.0,1.0,0.0,1.92,1.92,0.0,0.0,-1.0,+
1076820,1.0,12.0,182.0,1.0,0.0,1.0,0.0,0.57,0.57,1.0,0.0,22.01,+
1138238,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.58,5.58,0.0,0.0,-1.0,+
1154813,1.0,1.0,5.0,1.0,0.0,1.0,0.0,3.06,3.06,0.0,0.0,-1.0,+
1058587,1.0,2.5,13.5,1.0,0.0,0.5,0.0,0.08,0.08,0.0,0.0,-1.0,+
1180984,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.61,2.61,0.0,0.0,-1.0,+
1180985,1.0,1.0,2.0,1.0,0.0,1.0,0.0,4.31,4.31,0.0,0.0,-1.0,+
1154814,1.0,1.0,20.0,1.0,0.0,1.0,0.0,0.49,0.49,0.0,0.0,-1.0,+
1180988,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.95,1.95,0.0,0.0,-1.0,+
1184201,1.0,0.0,0.0,1.0,0.0,1.0,0.0,77.52,77.52,0.0,0.0,-1.0,+
1090594,1.0,2.0,29.5,1.0,0.0,1.0,0.0,73.37,73.37,0.0,0.0,-1.0,+
1090591,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.92,0.92,0.0,0.0,-1.0,+
1090592,0.67,4.67,66.0,0.67,0.0,0.67,-0.33,23.37,23.37,0.33,0.0,-0.41,+
1090598,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.05,0.05,0.0,0.0,-1.0,+
1287691,1.0,0.0,0.0,1.0,1.0,1.0,0.0,8.38,8.38,0.0,0.0,-1.0,+
1096341,1.0,0.0,0.0,1.0,0.0,1.0,0.0,76.76,76.76,0.0,0.0,-1.0,+
1145015,2.0,2.5,22.0,2.0,0.5,2.0,0.0,19.84,10.81,0.0,0.0,-1.0,+
