bug_id,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment,page_rank,betweenness,closeness,indegree,outdegree
1181912,4086.5,3.5,94.5,3.0,0.31,1.82,293060.88,1.12,9.5,50.0
1181913,291.5,1.5,15.5,2.0,0.46,2.4,3224.23,1.12,2.0,10.0
1267617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1121937,2370.0,2.0,179.0,3.0,0.16,8.94,22389.09,1.69,44.0,45.0
1041883,226.0,7.0,7.0,4.0,0.12,1.58,1028.13,1.96,2.0,16.0
1227274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1273759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1146907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1146904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1146902,1998.33,4.0,63.0,3.33,0.17,13.87,980840.36,1.84,31.67,74.0
1154356,1557.0,11.0,24.0,5.0,0.11,1.98,28294.94,1.16,6.5,11.5
1154352,121.0,1.0,1.0,0.0,1.33,4.01,88.76,1.16,7.5,1.0
1214321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101602,4383.0,2.67,149.67,3.33,0.29,11.41,44073.74,1.55,19.75,32.5
1202940,4205.25,2.5,89.5,2.75,0.1,12.53,1099650.87,1.74,63.5,47.75
1217677,876.5,2.83,46.0,2.83,0.11,1.81,43317.48,1.66,5.22,30.33
1154687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1265759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1154683,4326.0,12.0,60.0,5.0,0.07,1.36,195.28,1.16,0.5,19.5
1218499,246.0,1.0,18.0,1.0,0.05,1.39,288.68,1.77,3.5,28.0
1218496,2820.0,0.0,0.0,0.0,0.09,4.88,157227.38,1.77,35.0,61.0
1218497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1258476,10931.0,5.0,316.0,8.0,0.19,1.47,161525.33,1.65,8.0,155.0
1185340,2234.0,7.0,81.0,5.0,0.19,1.41,6345.73,1.34,1.67,19.0
1185343,2234.0,7.0,81.0,5.0,0.19,1.41,6345.73,1.34,1.67,19.0
1138967,466.79,2.43,21.14,1.93,0.31,3.32,379764.59,1.43,11.1,19.8
